,promotionid,itemid,modelid,promotion_price,rebate,discount_percent,start_time,end_time
150,2000000013,29339712,49694009,349,101,0.224444444,10/6/17 12:00,11/6/17 12:00
153,2000000013,287534887,196292349,16899,6001,0.262052402,10/6/17 12:00,11/6/17 12:00
157,2000000013,147797937,114656980,255,65,0.203125,10/6/17 12:00,11/6/17 12:00
159,2000000013,112487352,86606882,99,99,0.5,10/6/17 12:00,11/6/17 12:00
167,2000000013,206148824,133950544,239,160,0.401002506,10/6/17 12:00,11/6/17 12:00
175,2000000013,211118901,136795360,79,20,0.202020202,10/6/17 12:00,11/6/17 12:00
187,2000000013,197158005,129203392,258,111,0.300813008,10/6/17 12:00,11/6/17 12:00
202,2000000015,236113941,153344084,289,11,0.036666667,11/6/17 12:00,12/6/17 12:00
207,2000000015,77185600,199131961,365,60,0.141176471,11/6/17 12:00,12/6/17 12:00
208,2000000015,38387420,41819861,299,100,0.250626566,11/6/17 12:00,12/6/17 12:00
209,2000000015,75187460,148002617,299,121,0.288095238,11/6/17 12:00,12/6/17 12:00
217,2000000015,55647202,201769040,250,348,0.581939799,11/6/17 12:00,12/6/17 12:00
218,2000000015,64207848,0,2790,690,0.198275862,11/6/17 12:00,12/6/17 12:00
219,2000000015,63912970,0,145,54,0.271356784,11/6/17 12:00,12/6/17 12:00
220,2000000015,164803149,112057981,229,120,0.343839542,11/6/17 12:00,12/6/17 12:00
230,2000000015,208396382,135116564,659,140,0.175219024,11/6/17 12:00,12/6/17 12:00
231,2000000015,296985493,199106754,379,220,0.367278798,11/6/17 12:00,12/6/17 12:00
234,2000000015,196007370,128463826,179,111,0.382758621,11/6/17 12:00,12/6/17 12:00
246,2000000015,108909247,84378667,229,298,0.565464896,11/6/17 12:00,12/6/17 12:00
252,2000000015,173216715,0,199,51,0.204,11/6/17 12:00,12/6/17 12:00
253,2000000028,14333982,6493188,449,150,0.250417362,13/6/17 12:00,14/6/17 12:00
254,2000000028,254739460,165814430,199,100,0.334448161,13/6/17 12:00,14/6/17 12:00
258,2000000028,6204798,983391,154,66,0.3,13/6/17 12:00,14/6/17 12:00
259,2000000028,15226055,205012250,249,201,0.446666667,13/6/17 12:00,14/6/17 12:00
263,2000000028,8812874,115182407,999,881,0.468617021,13/6/17 12:00,14/6/17 12:00
264,2000000028,82207118,201544627,249,151,0.3775,13/6/17 12:00,14/6/17 12:00
267,2000000028,304844422,205075655,148,102,0.408,13/6/17 12:00,14/6/17 12:00
270,2000000028,63988616,0,350,400,0.533333333,13/6/17 12:00,14/6/17 12:00
271,2000000028,81669634,65067850,3999,2251,0.36016,13/6/17 12:00,14/6/17 12:00
273,2000000028,152615576,106905390,1200,1980,0.622641509,13/6/17 12:00,14/6/17 12:00
277,2000000028,262687735,171822423,99,191,0.65862069,13/6/17 12:00,14/6/17 12:00
292,2000000040,306345751,206235214,299,141,0.320454545,14/6/17 12:00,15/6/17 12:00
293,2000000040,12466703,5034732,239,241,0.502083333,14/6/17 12:00,15/6/17 12:00
305,2000000040,304466011,204649958,269,130,0.325814536,14/6/17 12:00,15/6/17 12:00
320,2000000040,99500553,77964674,1999,1291,0.392401216,14/6/17 12:00,15/6/17 12:00
323,2000000040,188409313,204772504,79,21,0.21,14/6/17 12:00,15/6/17 12:00
324,2000000040,88423056,149748586,2299,881,0.277044025,14/6/17 12:00,15/6/17 12:00
325,2000000040,305014637,205185756,899,501,0.357857143,14/6/17 12:00,15/6/17 12:00
334,2000000040,189794880,125460213,599,251,0.295294118,14/6/17 12:00,15/6/17 12:00
338,2000000040,298707928,0,699,200,0.22246941,14/6/17 12:00,15/6/17 12:00
339,2000000040,182324208,121565480,169,229,0.575376884,14/6/17 12:00,15/6/17 12:00
344,2000000040,304939089,205127713,149,313,0.677489177,14/6/17 12:00,15/6/17 12:00
356,2000000040,289523912,192777437,200,59,0.227799228,14/6/17 12:00,15/6/17 12:00
357,2000000047,304365089,204575939,388,202,0.342372881,15/6/17 12:00,16/6/17 11:59
364,2000000047,33375468,17007538,250,200,0.444444444,15/6/17 12:00,16/6/17 11:59
368,2000000047,197267680,206211232,139,39,0.219101124,15/6/17 12:00,16/6/17 11:59
369,2000000047,39415911,22595691,599,200,0.250312891,15/6/17 12:00,16/6/17 11:59
373,2000000047,63858149,50306558,699,641,0.478358209,15/6/17 12:00,16/6/17 11:59
374,2000000047,44540561,26475681,499,400,0.444938821,15/6/17 12:00,16/6/17 11:59
375,2000000047,297123764,0,399,100,0.200400802,15/6/17 12:00,16/6/17 11:59
376,2000000047,115620859,88784057,399,200,0.333889816,15/6/17 12:00,16/6/17 11:59
383,2000000047,137955146,0,990,400,0.287769784,15/6/17 12:00,16/6/17 11:59
384,2000000047,236003723,153277050,399,391,0.494936709,15/6/17 12:00,16/6/17 11:59
385,2000000047,307510148,207491940,699,581,0.45390625,15/6/17 12:00,16/6/17 11:59
386,2000000047,306538538,206415285,2299,2201,0.489111111,15/6/17 12:00,16/6/17 11:59
392,2000000056,229747542,171740575,299,251,0.456363636,16/6/17 12:00,17/6/17 11:59
396,2000000056,72030918,57657480,150,80,0.347826087,16/6/17 12:00,17/6/17 11:59
404,2000000056,86375640,68634011,188,62,0.248,16/6/17 12:00,17/6/17 11:59
419,2000000056,240404568,156313535,599,361,0.376041667,16/6/17 12:00,17/6/17 11:59
421,2000000056,244305768,158707530,699,500,0.417014178,16/6/17 12:00,17/6/17 11:59
436,2000000056,306841693,206634455,1490,490,0.247474747,16/6/17 12:00,17/6/17 11:59
439,2000000056,224765506,0,3990,1000,0.200400802,16/6/17 12:00,17/6/17 11:59
440,2000000056,129766350,97102801,149,101,0.404,16/6/17 12:00,17/6/17 11:59
452,2000000056,176026692,118468560,599,221,0.269512195,16/6/17 12:00,17/6/17 11:59
456,2000000056,215300613,208915108,249,66,0.20952381,16/6/17 12:00,17/6/17 11:59
457,2000000060,78072251,0,2999,1301,0.30255814,17/6/17 12:00,18/6/17 12:00
458,2000000060,42527294,113087337,180,220,0.55,17/6/17 12:00,18/6/17 12:00
473,2000000060,35799652,18936005,1280,400,0.238095238,17/6/17 12:00,18/6/17 12:00
477,2000000060,41476437,24088633,199,200,0.501253133,17/6/17 12:00,18/6/17 12:00
481,2000000060,8028986,1943096,224,175,0.438596491,17/6/17 12:00,18/6/17 12:00
484,2000000060,68486818,54693702,250,100,0.285714286,17/6/17 12:00,18/6/17 12:00
486,2000000060,72453210,57996619,599,351,0.369473684,17/6/17 12:00,18/6/17 12:00
498,2000000060,271610702,178282946,109,141,0.564,17/6/17 12:00,18/6/17 12:00
499,2000000060,289183892,200578141,399,141,0.261111111,17/6/17 12:00,18/6/17 12:00
501,2000000060,94561687,0,269,130,0.325814536,17/6/17 12:00,18/6/17 12:00
502,2000000061,74396873,83365952,319,179,0.359437751,18/6/17 12:00,19/6/17 12:00
503,2000000061,262538170,200667446,339,101,0.229545455,18/6/17 12:00,19/6/17 12:00
507,2000000061,227307909,156988005,2180,810,0.27090301,18/6/17 12:00,19/6/17 12:00
508,2000000061,179510178,120153916,299,59,0.164804469,18/6/17 12:00,19/6/17 12:00
510,2000000061,190619284,125970364,135,135,0.5,18/6/17 12:00,19/6/17 12:00
524,2000000061,231329192,149922794,299,151,0.335555556,18/6/17 12:00,19/6/17 12:00
527,2000000061,309302130,0,1599,581,0.266513761,18/6/17 12:00,19/6/17 12:00
528,2000000061,215423191,209014009,249,201,0.446666667,18/6/17 12:00,19/6/17 12:00
529,2000000071,236846298,154388111,1990,1300,0.395136778,19/6/17 12:00,20/6/17 12:00
549,2000000071,20185946,0,190,109,0.364548495,19/6/17 12:00,20/6/17 12:00
550,2000000071,270431484,178591501,685,175,0.203488372,19/6/17 12:00,20/6/17 12:00
551,2000000071,57624729,43656942,99,55,0.357142857,19/6/17 12:00,20/6/17 12:00
553,2000000071,83603717,213387352,150,149,0.498327759,19/6/17 12:00,20/6/17 12:00
554,2000000071,134611575,98989850,849,2009,0.702939118,19/6/17 12:00,20/6/17 12:00
555,2000000071,102375304,0,390,359,0.479305741,19/6/17 12:00,20/6/17 12:00
556,2000000071,197494479,129396140,322,173,0.349494949,19/6/17 12:00,20/6/17 12:00
557,2000000075,310379902,210154964,950,440,0.316546763,20/6/17 12:00,21/6/17 12:00
567,2000000075,41057027,31851454,199,300,0.601202405,20/6/17 12:00,21/6/17 12:00
568,2000000075,310525617,210319669,999,300,0.230946882,20/6/17 12:00,21/6/17 12:00
572,2000000075,40075146,0,899,201,0.182727273,20/6/17 12:00,21/6/17 12:00
573,2000000075,179285699,0,4650,850,0.154545455,20/6/17 12:00,21/6/17 12:00
574,2000000075,264493898,173002085,199,140,0.412979351,20/6/17 12:00,21/6/17 12:00
579,2000000075,306676369,0,1799,400,0.181900864,20/6/17 12:00,21/6/17 12:00
580,2000000075,181494340,121274297,199,399,0.66722408,20/6/17 12:00,21/6/17 12:00
587,2000000075,273439127,179723594,910,366,0.286833856,20/6/17 12:00,21/6/17 12:00
589,2000000075,255635087,214050623,110,40,0.266666667,20/6/17 12:00,21/6/17 12:00
591,2000000075,259967482,169838266,129,211,0.620588235,20/6/17 12:00,21/6/17 12:00
598,2000000075,307566882,207383951,4990,2990,0.374686717,20/6/17 12:00,21/6/17 12:00
606,2000000080,40459557,144829246,699,281,0.286734694,21/6/17 12:00,22/6/17 12:00
624,2000000080,12490208,214963546,250,250,0.5,21/6/17 12:00,22/6/17 12:00
625,2000000080,93336679,206200074,165,65,0.282608696,21/6/17 12:00,22/6/17 12:00
626,2000000080,201750710,208805900,739,260,0.26026026,21/6/17 12:00,22/6/17 12:00
630,2000000080,309162289,209021089,299,601,0.667777778,21/6/17 12:00,22/6/17 12:00
633,2000000080,42362272,24634314,499,200,0.286123033,21/6/17 12:00,22/6/17 12:00
639,2000000080,86811720,0,799,791,0.497484277,21/6/17 12:00,22/6/17 12:00
640,2000000080,298958262,200637655,375,111,0.228395062,21/6/17 12:00,22/6/17 12:00
642,2000000080,309068422,208919440,1099,600,0.353148911,21/6/17 12:00,22/6/17 12:00
647,2000000080,236700382,153800938,299,156,0.342857143,21/6/17 12:00,22/6/17 12:00
650,2000000080,243601552,0,899,481,0.348550725,21/6/17 12:00,22/6/17 12:00
651,2000000080,307944746,0,15850,5550,0.259345794,21/6/17 12:00,22/6/17 12:00
652,2000000092,33333746,153062874,1199,800,0.4002001,22/6/17 12:00,23/6/17 12:00
654,2000000092,237567907,159330347,369,70,0.159453303,22/6/17 12:00,23/6/17 12:00
655,2000000092,289687075,192890240,99,50,0.33557047,22/6/17 12:00,23/6/17 12:00
659,2000000092,63626408,213930061,990,360,0.266666667,22/6/17 12:00,23/6/17 12:00
660,2000000092,9521356,65048183,165,45,0.214285714,22/6/17 12:00,23/6/17 12:00
661,2000000092,226309186,146630050,220,179,0.448621554,22/6/17 12:00,23/6/17 12:00
665,2000000092,264544348,173047096,299,100,0.250626566,22/6/17 12:00,23/6/17 12:00
669,2000000092,14453210,6591695,99,100,0.502512563,22/6/17 12:00,23/6/17 12:00
675,2000000092,52767053,69738864,390,210,0.35,22/6/17 12:00,23/6/17 12:00
683,2000000092,15613545,7407961,299,200,0.400801603,22/6/17 12:00,23/6/17 12:00
686,2000000092,36630560,0,999,756,0.430769231,22/6/17 12:00,23/6/17 12:00
687,2000000092,314105590,214644033,320,230,0.418181818,22/6/17 12:00,23/6/17 12:00
690,2000000092,314924245,215997334,499,221,0.306944444,22/6/17 12:00,23/6/17 12:00
691,2000000092,306536765,206410945,299,401,0.572857143,22/6/17 12:00,23/6/17 12:00
693,2000000104,315623010,217249537,729,561,0.434883721,23/6/17 12:00,24/6/17 12:00
695,2000000104,123375471,0,479,420,0.467185762,23/6/17 12:00,24/6/17 12:00
696,2000000104,5637363,0,318,170,0.348360656,23/6/17 12:00,24/6/17 12:00
697,2000000104,55357275,41210906,149,141,0.486206897,23/6/17 12:00,24/6/17 12:00
707,2000000104,21849582,11227593,99,101,0.505,23/6/17 12:00,24/6/17 12:00
710,2000000104,273685077,218555136,239,60,0.200668896,23/6/17 12:00,24/6/17 12:00
711,2000000104,11874672,217271146,199,79,0.284172662,23/6/17 12:00,24/6/17 12:00
712,2000000104,16262416,0,3190,800,0.200501253,23/6/17 12:00,24/6/17 12:00
713,2000000104,191534037,126397179,849,641,0.430201342,23/6/17 12:00,24/6/17 12:00
717,2000000104,305259122,205385255,315,165,0.34375,23/6/17 12:00,24/6/17 12:00
720,2000000104,156591154,217698388,288,310,0.518394649,23/6/17 12:00,24/6/17 12:00
721,2000000104,278998114,0,2980,1010,0.253132832,23/6/17 12:00,24/6/17 12:00
722,2000000104,74418255,59530938,439,261,0.372857143,23/6/17 12:00,24/6/17 12:00
734,2000000104,96200448,213697080,649,171,0.208536585,23/6/17 12:00,24/6/17 12:00
737,2000000104,170207498,114792107,1599,1281,0.444791667,23/6/17 12:00,24/6/17 12:00
739,2000000104,227520447,147411823,379,421,0.52625,23/6/17 12:00,24/6/17 12:00
742,2000000118,9150905,210173646,250,318,0.559859155,24/6/17 12:00,25/6/17 12:00
748,2000000118,316331655,218789722,399,181,0.312068966,24/6/17 12:00,25/6/17 12:00
754,2000000118,233849584,0,350,300,0.461538462,24/6/17 12:00,25/6/17 12:00
755,2000000118,27516644,217767857,299,177,0.371848739,24/6/17 12:00,25/6/17 12:00
756,2000000118,107015464,95649077,599,245,0.29028436,24/6/17 12:00,25/6/17 12:00
757,2000000118,19404970,0,239,160,0.401002506,24/6/17 12:00,25/6/17 12:00
758,2000000118,29681127,0,359,91,0.202222222,24/6/17 12:00,25/6/17 12:00
759,2000000118,314418459,215100460,2100,600,0.222222222,24/6/17 12:00,25/6/17 12:00
761,2000000118,315753293,217555125,99,150,0.602409639,24/6/17 12:00,25/6/17 12:00
777,2000000118,314644859,215585691,799,200,0.2002002,24/6/17 12:00,25/6/17 12:00
778,2000000118,314905365,215962044,2599,2281,0.467418033,24/6/17 12:00,25/6/17 12:00
779,2000000118,264982728,173300051,168,430,0.719063545,24/6/17 12:00,25/6/17 12:00
795,2000000113,131472,0,1590,410,0.205,25/6/17 12:00,26/6/17 12:00
796,2000000113,313013979,213449812,199,100,0.334448161,25/6/17 12:00,26/6/17 12:00
804,2000000113,76314255,171635518,799,401,0.334166667,25/6/17 12:00,26/6/17 12:00
805,2000000113,195996337,128455002,279,80,0.222841226,25/6/17 12:00,26/6/17 12:00
807,2000000113,316455996,219022503,568,209,0.268983269,25/6/17 12:00,26/6/17 12:00
808,2000000113,43768560,0,2990,3998,0.572123641,25/6/17 12:00,26/6/17 12:00
809,2000000113,216483812,139850522,180,50,0.217391304,25/6/17 12:00,26/6/17 12:00
821,2000000113,99517214,77977608,365,100,0.215053763,25/6/17 12:00,26/6/17 12:00
827,2000000113,307903772,207692739,299,100,0.250626566,25/6/17 12:00,26/6/17 12:00
830,2000000113,304878797,205062157,399,561,0.584375,25/6/17 12:00,26/6/17 12:00
833,2000000113,315114744,0,990,400,0.287769784,25/6/17 12:00,26/6/17 12:00
834,2000000125,312915409,213359950,225,74,0.247491639,26/6/17 12:00,27/6/17 12:00
836,2000000125,316436478,218981993,325,295,0.475806452,26/6/17 12:00,27/6/17 12:00
845,2000000125,314993343,216103586,199,199,0.5,26/6/17 12:00,27/6/17 12:00
846,2000000125,147764498,218852332,119,55,0.316091954,26/6/17 12:00,27/6/17 12:00
851,2000000125,234722672,0,5999,2381,0.284128878,26/6/17 12:00,27/6/17 12:00
852,2000000125,28516689,0,3999,951,0.192121212,26/6/17 12:00,27/6/17 12:00
853,2000000125,142148948,0,489,161,0.247692308,26/6/17 12:00,27/6/17 12:00
854,2000000125,307565253,207236327,660,290,0.305263158,26/6/17 12:00,27/6/17 12:00
868,2000000125,304806664,204996455,299,100,0.250626566,26/6/17 12:00,27/6/17 12:00
869,2000000125,69355326,218961893,2780,1110,0.285347044,26/6/17 12:00,27/6/17 12:00
876,2000000125,310421427,210215126,1199,641,0.348369565,26/6/17 12:00,27/6/17 12:00
881,2000000125,268784294,0,235,64,0.214046823,26/6/17 12:00,27/6/17 12:00
882,2000000125,314174014,0,179,220,0.551378446,26/6/17 12:00,27/6/17 12:00
883,2000000129,42718830,0,469,251,0.348611111,27/6/17 12:00,28/6/17 12:00
884,2000000129,309570163,209400678,99,213,0.682692308,27/6/17 12:00,28/6/17 12:00
899,2000000129,242056959,157289920,399,151,0.274545455,27/6/17 12:00,28/6/17 12:00
901,2000000129,169756109,0,550,240,0.303797468,27/6/17 12:00,28/6/17 12:00
902,2000000129,33182743,214702530,299,461,0.606578947,27/6/17 12:00,28/6/17 12:00
903,2000000129,126344822,95294533,119,30,0.201342282,27/6/17 12:00,28/6/17 12:00
905,2000000129,317594598,221911009,175,63,0.264705882,27/6/17 12:00,28/6/17 12:00
908,2000000129,296567352,198770813,299,91,0.233333333,27/6/17 12:00,28/6/17 12:00
913,2000000129,315148429,216387914,85,29,0.254385965,27/6/17 12:00,28/6/17 12:00
930,2000000129,195183681,128136794,199,91,0.313793103,27/6/17 12:00,28/6/17 12:00
936,2000000129,57608820,0,1599,389,0.195674044,27/6/17 12:00,28/6/17 12:00
937,2000000129,73893457,219984688,1490,690,0.316513761,27/6/17 12:00,28/6/17 12:00
948,2000000129,92951159,73535571,299,151,0.335555556,27/6/17 12:00,28/6/17 12:00
950,2000000129,264245156,221928266,149,40,0.211640212,27/6/17 12:00,28/6/17 12:00
951,2000000129,315684154,217378536,850,440,0.341085271,27/6/17 12:00,28/6/17 12:00
954,2000000129,262406896,171592205,329,111,0.252272727,27/6/17 12:00,28/6/17 12:00
956,2000000135,9316318,2744418,440,160,0.266666667,28/6/17 12:00,29/6/17 12:00
960,2000000135,17650409,0,2288,1192,0.342528736,28/6/17 12:00,29/6/17 12:00
961,2000000135,278485650,183940882,139,61,0.305,28/6/17 12:00,29/6/17 12:00
962,2000000135,318359278,223890900,199,296,0.597979798,28/6/17 12:00,29/6/17 12:00
963,2000000135,191946963,126667773,129,40,0.236686391,28/6/17 12:00,29/6/17 12:00
965,2000000135,66205277,111510788,950,740,0.437869822,28/6/17 12:00,29/6/17 12:00
966,2000000135,243070849,194635997,299,201,0.402,28/6/17 12:00,29/6/17 12:00
968,2000000135,265803412,173928199,2999,891,0.229048843,28/6/17 12:00,29/6/17 12:00
970,2000000135,314493124,215260621,699,281,0.286734694,28/6/17 12:00,29/6/17 12:00
988,2000000135,316426370,218962430,4990,1509,0.232189568,28/6/17 12:00,29/6/17 12:00
990,2000000135,314192522,214740843,299,200,0.400801603,28/6/17 12:00,29/6/17 12:00
1000,2000000135,314969069,216074032,999,341,0.254477612,28/6/17 12:00,29/6/17 12:00
1006,2000000144,135024717,99137392,139,60,0.301507538,29/6/17 12:00,30/6/17 12:00
1012,2000000144,315013386,216134946,999,681,0.405357143,29/6/17 12:00,30/6/17 12:00
1021,2000000144,43704278,56355039,200,250,0.555555556,29/6/17 12:00,30/6/17 12:00
1022,2000000144,316357464,0,399,601,0.601,29/6/17 12:00,30/6/17 12:00
1023,2000000144,313642776,226043200,130,169,0.565217391,29/6/17 12:00,30/6/17 12:00
1034,2000000144,197498055,129398813,9900,15900,0.61627907,29/6/17 12:00,30/6/17 12:00
1035,2000000144,282922057,0,499,200,0.286123033,29/6/17 12:00,30/6/17 12:00
1036,2000000144,153382765,0,379,101,0.210416667,29/6/17 12:00,30/6/17 12:00
1037,2000000144,74394716,59515941,580,400,0.408163265,29/6/17 12:00,30/6/17 12:00
1044,2000000144,96666302,226675419,199,461,0.698484848,29/6/17 12:00,30/6/17 12:00
1045,2000000144,187236105,124249591,179,141,0.440625,29/6/17 12:00,30/6/17 12:00
1048,2000000144,315072279,217278511,999,681,0.405357143,29/6/17 12:00,30/6/17 12:00
1050,2000000162,90655651,71959402,199,100,0.334448161,30/6/17 12:00,1/7/17 12:00
1060,2000000162,2831295,12791535,499,230,0.315500686,30/6/17 12:00,1/7/17 12:00
1063,2000000162,78714794,62854424,180,70,0.28,30/6/17 12:00,1/7/17 12:00
1071,2000000162,16220326,0,899,189,0.173713235,30/6/17 12:00,1/7/17 12:00
1072,2000000162,196183099,128599230,599,200,0.250312891,30/6/17 12:00,1/7/17 12:00
1073,2000000162,314994339,216104455,779,211,0.213131313,30/6/17 12:00,1/7/17 12:00
1084,2000000162,38035368,227379926,375,105,0.21875,30/6/17 12:00,1/7/17 12:00
1085,2000000162,67758459,53995313,890,610,0.406666667,30/6/17 12:00,1/7/17 12:00
1091,2000000162,96763944,0,1149,539,0.319312796,30/6/17 12:00,1/7/17 12:00
1092,2000000162,99638483,78087801,169,50,0.228310502,30/6/17 12:00,1/7/17 12:00
1095,2000000162,315008886,216125089,129,171,0.57,30/6/17 12:00,1/7/17 12:00
1105,2000000162,197103639,0,349,110,0.239651416,30/6/17 12:00,1/7/17 12:00
1116,2000000175,117967392,0,549,651,0.5425,1/7/17 12:00,2/7/17 12:00
1117,2000000175,91397653,93652443,98,112,0.533333333,1/7/17 12:00,2/7/17 12:00
1120,2000000175,11447654,227530954,299,91,0.233333333,1/7/17 12:00,2/7/17 12:00
1121,2000000175,7607206,115067915,189,51,0.2125,1/7/17 12:00,2/7/17 12:00
1130,2000000175,212468340,144845551,2150,749,0.258364953,1/7/17 12:00,2/7/17 12:00
1131,2000000175,151303341,106433201,139,60,0.301507538,1/7/17 12:00,2/7/17 12:00
1137,2000000175,199107857,130293424,338,152,0.310204082,1/7/17 12:00,2/7/17 12:00
1142,2000000175,138576538,114238453,938,542,0.366216216,1/7/17 12:00,2/7/17 12:00
1144,2000000175,301845753,202619322,3730,970,0.206382979,1/7/17 12:00,2/7/17 12:00
1146,2000000175,183807729,122334897,1299,691,0.347236181,1/7/17 12:00,2/7/17 12:00
1163,2000000176,63870431,0,620,260,0.295454545,2/7/17 12:00,3/7/17 12:00
1164,2000000176,78143231,62360113,159,40,0.201005025,2/7/17 12:00,3/7/17 12:00
1169,2000000176,5927795,711274,99,36,0.266666667,2/7/17 12:00,3/7/17 12:00
1174,2000000176,317514719,221725697,310,470,0.602564103,2/7/17 12:00,3/7/17 12:00
1176,2000000176,320129206,228460849,6480,1800,0.217391304,2/7/17 12:00,3/7/17 12:00
1186,2000000176,8028015,0,790,890,0.529761905,2/7/17 12:00,3/7/17 12:00
1187,2000000176,16456373,8098642,200,75,0.272727273,2/7/17 12:00,3/7/17 12:00
1188,2000000176,303551858,204085401,329,103,0.238425926,2/7/17 12:00,3/7/17 12:00
1203,2000000176,36811256,0,1350,500,0.27027027,2/7/17 12:00,3/7/17 12:00
1205,2000000176,315808757,217622184,463,463,0.5,2/7/17 12:00,3/7/17 12:00
1214,2000000176,317723302,222282806,779,231,0.228712871,2/7/17 12:00,3/7/17 12:00
1216,2000000176,287169936,191153908,250,250,0.5,2/7/17 12:00,3/7/17 12:00
1223,2000000176,156397131,108577109,99,87,0.467741935,2/7/17 12:00,3/7/17 12:00
1226,2000000176,172403705,116170328,179,211,0.541025641,2/7/17 12:00,3/7/17 12:00
1228,2000000176,310616263,0,919,180,0.163785259,2/7/17 12:00,3/7/17 12:00
1229,2000000185,7483389,96021911,2880,1400,0.327102804,3/7/17 12:00,4/7/17 12:00
1249,2000000185,57177860,43233385,165,84,0.337349398,3/7/17 12:00,4/7/17 12:00
1253,2000000185,21088341,231651311,316,196,0.3828125,3/7/17 12:00,4/7/17 12:00
1254,2000000185,64326862,121848588,100,50,0.333333333,3/7/17 12:00,4/7/17 12:00
1255,2000000185,320022565,0,1550,1650,0.515625,3/7/17 12:00,4/7/17 12:00
1256,2000000185,321371487,230591737,99,100,0.502512563,3/7/17 12:00,4/7/17 12:00
1276,2000000185,173455248,213941897,150,48,0.242424242,3/7/17 12:00,4/7/17 12:00
1277,2000000185,80743930,0,2399,1021,0.298538012,3/7/17 12:00,4/7/17 12:00
1278,2000000185,72382217,0,320,130,0.288888889,3/7/17 12:00,4/7/17 12:00
1279,2000000185,315249450,216662730,399,200,0.333889816,3/7/17 12:00,4/7/17 12:00
1284,2000000185,31804250,0,1480,1500,0.503355705,3/7/17 12:00,4/7/17 12:00
1285,2000000185,40554982,23497721,399,100,0.200400802,3/7/17 12:00,4/7/17 12:00
1293,2000000185,319593638,231687136,399,151,0.274545455,3/7/17 12:00,4/7/17 12:00
1294,2000000185,67724421,53970022,580,200,0.256410256,3/7/17 12:00,4/7/17 12:00
1305,2000000185,317333496,221865759,12490,2410,0.161744966,3/7/17 12:00,4/7/17 12:00
